1731501645.506109,0
1731501645.613177,1
1731501645.857634,8
1731501645.977861,11
1731501646.085194,16
1731501646.194483,24
1731501646.309330,31
1731501646.419866,39
1731501646.527806,47
1731501646.656250,56
1731501646.770163,69
1731501646.876649,76
1731501646.984477,82
1731501647.095497,94
1731501647.218254,99
1731501647.333669,100
1731501647.441823,99
1731501647.550422,100
1731501647.658990,100
1731501647.768039,99
1731501647.879699,100
1731501647.985384,100
1731501648.100925,100
1731501648.210708,100
1731501648.320493,99
1731501648.431806,99
1731501648.546898,99
1731501648.654166,100
1731501648.760921,99
1731501648.888814,100
1731501648.997231,100
1731501649.108569,100
1731501649.224433,99
1731501649.338387,99
1731501649.442119,100
1731501649.550926,98
1731501649.656610,100
1731501649.770418,100
1731501649.881338,98
1731501649.988517,98
1731501650.098612,99
1731501650.215777,97
1731501650.335062,93
1731501650.443812,93
1731501650.556666,93
1731501650.669169,96
1731501650.778406,98
1731501650.897831,98
1731501651.034517,100
1731501651.140837,99
1731501651.260120,99
1731501651.368419,97
1731501651.506542,95
1731501651.618562,95
1731501651.729782,96
1731501651.840034,98
1731501651.956642,99
1731501652.064495,99
1731501652.175497,99
1731501652.283809,100
1731501652.395912,100
1731501652.506675,99
1731501652.618696,85
1731501652.725294,72
1731501652.832280,58
1731501652.949781,44
1731501653.077142,32
1731501653.252379,34
1731501653.386819,42
1731501653.494592,33
1731501653.633695,25
1731501653.744295,28
1731501653.857685,32
1731501653.966617,37
1731501654.073006,53
1731501654.185088,51
1731501654.304448,51
1731501654.421788,48
1731501654.528460,46
1731501654.637553,48
1731501654.751383,49
1731501654.867550,50
1731501654.986339,50
1731501655.092808,49
1731501655.222301,49
1731501655.336406,49
1731501655.450407,46
1731501655.559966,47
1731501655.693211,46
1731501655.801374,46
1731501655.912943,47
1731501656.021610,46
1731501656.137525,46
1731501656.246671,46
1731501656.354769,47
1731501656.468787,47
1731501656.576540,46
1731501656.681502,46
1731501656.796286,46
1731501656.904815,48
1731501657.024675,48
1731501657.131852,49
1731501657.241238,48
1731501657.348147,49
1731501657.456168,50
1731501657.565598,49
1731501657.677181,49
1731501657.787174,49
1731501657.909833,48
1731501658.031561,48
1731501658.164470,59
1731501658.317977,57
1731501658.425202,58
1731501658.566091,58
1731501658.692992,58
1731501658.832274,49
1731501658.967049,50
1731501659.073926,51
1731501659.186069,51
1731501659.304197,49
1731501659.426379,50
1731501659.573852,47
1731501659.684976,48
1731501659.793999,48
1731501659.903669,48
1731501660.016208,48
1731501660.148665,49
1731501660.264886,49
1731501660.380211,48
1731501660.488272,48
1731501660.596992,49
1731501660.713466,48
1731501660.837430,50
1731501660.945521,49
1731501661.061549,50
1731501661.191289,49
1731501661.297757,50
1731501661.418714,50
1731501661.524691,49
1731501661.632283,49
1731501661.760139,49
1731501661.914176,51
1731501662.020604,50
1731501662.131065,49
1731501662.240101,49
1731501662.350913,51
1731501662.460410,50
1731501662.574897,51
1731501662.708030,57
1731501662.816577,57
1731501662.924607,56
1731501663.032300,57
1731501663.162419,58
1731501663.272370,58
1731501663.390160,56
1731501663.499493,51
1731501663.604981,52
1731501663.730719,51
1731501663.838140,52
1731501663.944912,51
1731501664.055560,51
1731501664.187260,51
1731501664.298088,49
1731501664.404654,50
1731501664.512505,49
1731501664.619009,49
1731501664.727812,51
1731501664.838906,50
1731501664.950097,50
1731501665.063920,50
1731501665.188877,50
1731501665.310806,51
1731501665.418665,50
1731501665.528463,51
1731501665.639044,52
1731501665.745604,50
1731501665.857834,50
1731501666.003905,50
1731501666.144381,51
1731501666.256201,51
1731501666.364617,51
1731501666.472880,51
1731501666.587495,52
1731501666.693976,53
1731501666.798333,52
1731501666.912824,52
1731501667.027599,52
1731501667.141872,52
1731501667.255116,52
1731501667.364850,58
1731501667.475949,59
1731501667.584017,59
1731501667.705259,58
1731501667.814233,59
1731501667.922732,58
